,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
France,0.06560789882661844,0.04886377261245629,0.11163626384370744,0.030531165145293696,0.09706823389422733,0.14811392727783979,0.5705947386701029,0.05974139479348061,0.04745618122486009,0.26437934864314805,0.16917969958932377,0.039781017916676834,0.0058705722674114915,0.31155919148547906,0.04933093363972676,0.23913001921655083,0.006430795100410251,0.05718129872567647,0.007994060827015554,0.016081289534298476,0.011537327814384712,0.0,0.05496910155494636,0.019451147451845757,0.06821364859532247,0.046846097736768906,0.022265646208510577,0.00674766181221064,0.07452413062977076,0.02138951779705887,0.020046131964465422,0.14046141535043566,0.007607963469786332,0.021714776918388266,0.027023347501588597,0.02138951779705887,0.01638940961546853,0.0,0.0,0.07751792259566834,0.036938342601935875,0.08918770146415159,0.03602958732291093,0.0,0.003102661566997241,0.039348784703074964,0.04773291120208644,0.029554992943072254,0.027768986020430764,0.04167108902752821,0.008300877016229181,0.0045586346937320985,0.00686591004468711,0.021226543464642714,0.018485492384303196,0.021649798087066845,0.0011047359801143928,0.00025454531300653135,0.0031466500397674267,0.008947140719508138,0.0,0.01590966435287772,0.002925865656685736,0.0036253994816934977,0.0,0.15263296693947787,0.02249173123242793,0.018752774191511473,0.021747252735223346,0.006430795100410251,0.011100569173262995,0.01720615282105731,0.0019717065437628743,0.01727390107819243,0.029738511228244943,0.01515060179305638,0.04340158803274581,0.0014974617559849698,0.003539019579024284,0.005789912150086412,0.016798659282643763,0.017104441408544186,0.016286816929654096,0.06506828691107897,0.484520740172302,0.08288672164565919,0.008871498018641243,0.012438686029903067,0.022974770205380454,0.017544423922569028,0.055209972311656155,0.022103893171321016,0.0,0.023039030109594086,0.05440611063979544,0.017138357119022864,0.015289096639592758,0.031289448069198936,0.004683726975980644,0.029125895080880055,0.00787853837117998,0.0012042664196458904,0.009286304490723919,0.012295216233740133,0.0038401470652469002,0.0014491055752115381,0.008605943945385134,0.003754449656427088,0.002613003135763971,0.012831817683640664,0.002567921489674631,0.00401076532965668,0.012366985809292411,0.025771557845625948,0.002881449154146843,0.005668612938677589,0.0035822447944116485,0.004306981746441652,0.0010041600097556358,0.07026548420621852
Germany,0.06328214936677512,0.07231175065928458,0.1716591224344439,0.060695519197783904,0.11836628572674866,0.18326454572439543,0.5726400178197677,0.06285281604566809,0.05419961412436103,0.2801143868376926,0.28060064622412506,0.04779455100089628,0.006249417741887255,0.3052117282190859,0.04138167988829845,0.2638100532329953,0.008310005851634494,0.11434375053778292,0.018170907834587833,0.02588335268101882,0.008310005851634494,0.0,0.0739681354255087,0.023472879376651934,0.08364085009770308,0.054110632444059066,0.026401608498538228,0.005451543623271136,0.10789636939698519,0.023261112057894013,0.016154978174172153,0.205632540255957,0.006380910573275462,0.03455204113947034,0.022730101829192807,0.018833949795561213,0.014441078303064292,0.0,0.0,0.09264203788638059,0.03669616958938185,0.12593789638087755,0.06779141023355659,0.0,0.003941686811625251,0.02743230675703089,0.040814205258121364,0.019054030883297473,0.03679300547790258,0.03257892591123532,0.00754745487918103,0.004910270613772712,0.0032296683123582263,0.018059984183232448,0.021446071973998962,0.012691766254001398,0.0,0.0,0.001576247143445261,0.015359265277603432,0.0,0.015245017060780804,0.004081915893941315,0.002042627581588383,0.0,0.21780695085721777,0.0427931639050949,0.02835353922531664,0.023048982809748084,0.010172001606986716,0.01304471000587639,0.019602251529015492,0.002042627581588383,0.02014771349546643,0.010537686526373222,0.021875625163182248,0.05773211167219692,0.0002127129671324742,0.005046351265995323,0.005985200541099839,0.014556386210115454,0.01304471000587639,0.02176838400858704,0.06812873905115953,0.13337680062796664,0.07586159493350858,0.013629446716852484,0.016831622316321408,0.022517050637887902,0.014786537031745598,0.0452163340535685,0.022730101829192807,0.0,0.021553607978855076,0.04687736148037123,0.019492830951501425,0.01761506801593899,0.05570723504096788,0.007032583725673656,0.022836487761164773,0.007032583725673656,0.000581777307939588,0.02588335268101882,0.009310377994023233,0.005585639203581042,0.004636488596671457,0.008561773067917992,0.005181913631472952,0.004221487089215273,0.009681125769133098,0.002042627581588383,0.002496045329691959,0.006642712087208362,0.017168154385883445,0.0012560538230157305,0.0030848509110290895,0.0044987515864392934,0.003941686811625251,0.0004017191300841176,0.17094542419870012
Iceland,0.05221157680667722,0.07468882369875578,0.1112352681987653,0.07227454394580096,0.1628191999620915,0.12624346370188044,0.6231906960697421,0.06738909272798162,0.10464099248051552,0.2207321055251516,0.18777905128260367,0.014990669169244677,0.0,0.34673063708493507,0.0841725310905128,0.14078258129594817,0.0,0.09793873133527735,0.004395724881670541,0.02134873558961807,0.004395724881670541,0.0,0.05480188397187303,0.02738910798105187,0.03602246366407374,0.04155678618021381,0.01821676659875645,0.008143392173981714,0.06984156021384735,0.02134873558961807,0.011646454178848093,0.21894481860728957,0.0,0.01821676659875645,0.008143392173981714,0.03602246366407374,0.011646454178848093,0.0,0.0,0.06738909272798162,0.04959375524722876,0.11772928540390211,0.10018534350663309,0.0,0.004395724881670541,0.02440242735026693,0.06491629384519437,0.01821676659875645,0.046946697465451694,0.04426845157501825,0.0,0.0,0.004395724881670541,0.02738910798105187,0.038809125643079916,0.02134873558961807,0.0,0.0,0.0,0.01821676659875645,0.0,0.02440242735026693,0.04155678618021381,0.0,0.0,0.18589635390918277,0.04959375524722876,0.02440242735026693,0.030317201138053685,0.014990669169244677,0.02738910798105187,0.03319324525071604,0.008143392173981714,0.03319324525071604,0.014990669169244677,0.03602246366407374,0.10241931968707609,0.0,0.0,0.014990669169244677,0.01821676659875645,0.02134873558961807,0.02738910798105187,0.06738909272798162,0.25383487926116877,0.08650310130088938,0.004395724881670541,0.011646454178848093,0.03602246366407374,0.011646454178848093,0.1112352681987653,0.030317201138053685,0.0,0.038809125643079916,0.05221157680667722,0.014990669169244677,0.04959375524722876,0.02738910798105187,0.0,0.05990591460783836,0.01821676659875645,0.0,0.04426845157501825,0.004395724881670541,0.004395724881670541,0.0,0.011646454178848093,0.008143392173981714,0.0,0.008143392173981714,0.008143392173981714,0.011646454178848093,0.004395724881670541,0.03602246366407374,0.008143392173981714,0.004395724881670541,0.008143392173981714,0.0,0.0,0.12624346370188044
Iran,0.04181146298172098,0.1086275265684188,0.24626299900038792,0.04611094509623164,0.15807236961798693,0.09108032913120039,0.6904618055361891,0.04611094509623164,0.028260981321073343,0.11541914180209735,0.14726667599828142,0.01910474030054817,0.004229886167539772,0.3849732413101459,0.018680618940634712,0.11779638761407625,0.006315814415449902,0.05222614436261164,0.01739754486576283,0.010686919303447276,0.01739754486576283,0.0,0.04361421839040906,0.013887651813411181,0.06464879016043446,0.04857784645504976,0.016532728961212446,0.001375419662265487,0.058348174355538476,0.01522019786765261,0.00528777571253813,0.12798431659449844,0.010452629066422844,0.027275242424830544,0.16564333291723315,0.12744000802863661,0.04017440039725549,0.0,0.0,0.08318860019788177,0.11849287589457336,0.08685473966432396,0.06562975820282989,0.0,0.0036872200258624135,0.06611889207835044,0.12402187402825622,0.008545507802484037,0.02943495435772922,0.006315814415449902,0.010217484824513581,0.003133401064912464,0.012075853523566623,0.018041135377759334,0.006820434564864053,0.0070706324354030264,0.0,0.0,0.000733876955037808,0.0036872200258624135,0.0,0.00902812202503979,0.000733876955037808,0.0,0.0,0.12043662367717588,0.023258435548704232,0.02099274800916622,0.05084340640182374,0.010217484824513581,0.016966116541235327,0.03778395050595982,0.013438650476214642,0.016097322736399532,0.007813432600408643,0.012075853523566623,0.034608444936501316,0.0,0.00528777571253813,0.0016821183422188932,0.007813432600408643,0.0203670250746876,0.022644805199147043,0.07382910653901574,0.18865025271281044,0.02767036830100135,0.013213195141115085,0.019947901700323907,0.05239839109352274,0.03137112158340874,0.02982419148789763,0.02120055075815393,0.0,0.013438650476214642,0.034419791503133255,0.015440289299652035,0.013887651813411181,0.014778340390711837,0.0025661708289107157,0.0019821113846464006,0.000733876955037808,0.0,0.0073194978488731605,0.000733876955037808,0.001375419662265487,0.000733876955037808,0.0073194978488731605,0.0034118263892028056,0.0,0.0,0.001375419662265487,0.004763004666580915,0.007813432600408643,0.024274400401575972,0.0019821113846464006,0.004763004666580915,0.004229886167539772,0.001375419662265487,0.0,0.08318860019788177
Japan,0.25450297014515144,0.13999733881256143,0.190330395216125,0.30074787154889077,0.2856803588364167,0.1703365665494217,0.2621633724769744,0.052257079037213765,0.02651635303421513,0.11174189662509172,0.46371657670573946,0.07297970575943118,0.002761777422820743,0.2064209415788975,0.04790185089223435,0.07687861248767722,0.013304556803292506,0.18396361097227273,0.11147468643993245,0.03202812435894125,0.02506579214467983,0.0,0.123657656942433,0.013689407720854365,0.030653358679767116,0.035463176339965014,0.0404407682991596,0.006676284633905461,0.14179258055503577,0.03739670478903786,0.011816673465115285,0.15378298105974264,0.002727291864361034,0.011970957390900787,0.010255426192059451,0.039480458040470755,0.01601703560298577,0.0,0.0,0.045219689724048474,0.01763393695078093,0.08529363590558663,0.020578001009295514,0.0,0.0054505457845640355,0.09298628196252513,0.033707426712403184,0.03609842343464237,0.0658726718286872,0.04091356644283867,0.010755969270175381,0.006676284633905461,0.004751246413182426,0.018979545717003773,0.017870326750457938,0.01255718660245036,0.00031028524885596853,0.00015225412935109616,0.00046056281526125995,0.09370468683133744,0.0,0.01156351799007567,0.0026235024669974166,0.0003538360970026157,0.0,0.07976229334392879,0.013387174968314004,0.013428453119108816,0.008597529236642606,0.008227716530391047,0.004863398219568151,0.00991001384863909,0.0003538360970026157,0.012152887716915306,0.006569049613401631,0.026565264833176904,0.08541766189457335,0.0003538360970026157,0.004863398219568151,0.009228131624872848,0.04000073496348004,0.04487797000434026,0.04461304079266124,0.11082375987153083,0.30804338664381903,0.13113242674427844,0.02883388659723388,0.04948515114842901,0.031057508470427996,0.077328434392182,0.04600032156487249,0.042202500075734284,0.0,0.02950667920029748,0.03527795702481937,0.016243935617214548,0.00577986216786502,0.017014125300470678,0.009038189566128228,0.009722144944070513,0.006292136432631982,0.003086788614056603,0.023949064374034622,0.010068553929048964,0.011718326856254752,0.004477351208497902,0.013661977048378935,0.01026977914280769,0.006338407535226859,0.0032223120909487175,0.026296042967979525,0.024160714603240135,0.013552164710370114,0.025534565102601683,0.00502300566259226,0.009286455880826635,0.010784461232283299,0.011011978261801591,0.0018085895167496164,0.06785444713630678
Mexico,0.07381020080662828,0.04490799662237834,0.11648136073315858,0.04563810316618102,0.12220783230123383,0.23233309726651757,0.5160487543150155,0.04560894740513559,0.061326494972770505,0.15607916997859145,0.16100106188086036,0.02984577881788553,0.002733621384790521,0.44548963217830395,0.052214626012565366,0.21976208736159805,0.007874919996518879,0.04991043688576696,0.014503762080369773,0.023739145911569434,0.013775816794558575,0.0,0.09789904345377151,0.026272618596626024,0.061190024511412776,0.037153066623026004,0.03833647578130405,0.0067438664333453,0.11436870070071278,0.08182420848308344,0.01985768650550094,0.19220172143632572,0.011174180938910228,0.033585969382427264,0.04296809221032084,0.04326320020116852,0.02129001815274077,0.0,0.0,0.08093240862371902,0.08770013123096244,0.16404009047070206,0.07430580462618912,0.0,0.0043886506935770005,0.06944468594845722,0.08316999795255516,0.0593269126725253,0.10133188385119236,0.046307583562540555,0.012337340633062275,0.0054578639678497815,0.008074251935254628,0.03405140069372324,0.027764060754339494,0.013775816794558575,0.00013799887063882762,0.0,0.0006593048107755333,0.02172979369931886,0.0,0.02081456203025516,0.010183485257739615,0.0005490323025472826,0.0,0.18635993553713354,0.0479578060270229,0.0263052100759406,0.039271769487522395,0.016510610431361625,0.02196592416796159,0.06915308820291913,0.00921633984574121,0.029048553237758127,0.018927107721858027,0.02267156200672481,0.0495384551795641,0.0007136908634892588,0.011626654716729877,0.014937581033120756,0.02486377673727511,0.03534788775783463,0.0424654172338756,0.10521032970588999,0.2266879702760348,0.15247860771012228,0.026793169167757796,0.04723556898883547,0.05028180824220079,0.04112866043843387,0.06341932926908522,0.042050501678605606,0.0,0.03067051069369348,0.08652316178572363,0.03534788775783463,0.036787388337439185,0.07602111964313905,0.004258041868310043,0.01999488179173476,0.008312471864139364,0.001539157396942796,0.025356901398555957,0.007029111538064844,0.007393363267699712,0.004948690524980557,0.008272841303455737,0.010756819316054357,0.0031461261150627262,0.0038185933766667493,0.003327165882762813,0.003907008492572408,0.012113649725465662,0.018058177266319617,0.003506916105561593,0.00507664876699065,0.008470708284707876,0.00477735446935484,0.002027165613956484,0.061544700825469506
Morocco,0.031266935180902164,0.031266935180902164,0.10159227838990185,0.04930577990093982,0.0893514858133453,0.168435338562838,0.7612329265885212,0.028193184451580873,0.03278057194949449,0.14949184078804736,0.10557896463192214,0.028193184451580873,0.00871471516997005,0.30920639113846704,0.024253205749150648,0.07663222094510559,0.0025468748275293876,0.03650341585136662,0.017669681271735547,0.017669681271735547,0.006765259119916673,0.0,0.035024328668067733,0.014210324463355685,0.03427984510797081,0.022642684059224188,0.00871471516997005,0.0013654864225239125,0.047228756675554644,0.02101000357277428,0.010597062342201308,0.13395966945673773,0.009663281714700742,0.026631108533187592,0.031266935180902164,0.023450601585869663,0.01242593013472272,0.0,0.0,0.06268473663539796,0.06268473663539796,0.07414767593803959,0.014210324463355685,0.0,0.0025468748275293876,0.04653180887239023,0.040147025159113,0.03576549191603695,0.030504477370173637,0.0159566461997926,0.01242593013472272,0.005758776214896749,0.005758776214896749,0.014210324463355685,0.025050701012080522,0.025050701012080522,0.0,0.0,0.0,0.0025468748275293876,0.0,0.006765259119916673,0.014210324463355685,0.0013654864225239125,0.0,0.18002781551337876,0.022642684059224188,0.015087915238011519,0.017669681271735547,0.005758776214896749,0.005758776214896749,0.00871471516997005,0.06072488986774466,0.007749505292992372,0.0047255536200219005,0.01242593013472272,0.03576549191603695,0.0013654864225239125,0.005758776214896749,0.007749505292992372,0.023450601585869663,0.010597062342201308,0.020184737109626903,0.06333467064017646,0.34540589243736053,0.043010609919272955,0.009663281714700742,0.013323239988445167,0.026631108533187592,0.014210324463355685,0.08153958811396946,0.03202559822813922,0.0,0.022642684059224188,0.040147025159113,0.009663281714700742,0.0047255536200219005,0.021829231653382887,0.0013654864225239125,0.01935314450921824,0.0036587765862359923,0.0,0.015087915238011519,0.006765259119916673,0.007749505292992372,0.0,0.015087915238011519,0.014210324463355685,0.0,0.0,0.0,0.0013654864225239125,0.021829231653382887,0.01935314450921824,0.0,0.0,0.0025468748275293876,0.006765259119916673,0.0,0.047228756675554644
Nigeria,0.04285773081037297,0.04655986564453203,0.171903913282921,0.04539622201695564,0.06508108587729881,0.23867766151363073,0.8038732057553808,0.03522628928546107,0.019341976961559895,0.05821698556645576,0.10941745841071526,0.02067832152572744,0.0052080180381174086,0.16818190167340577,0.006249500591534642,0.07684506491805423,0.003080981388128921,0.03692902657904952,0.016983646163712198,0.00969238331856376,0.005040887541195583,0.0,0.04167183405894986,0.016246238359408513,0.02914075058804624,0.013040540121729846,0.021998603008750155,0.0030210932206874907,0.049348206166943305,0.01054533379003482,0.006303567006754689,0.08917088629636749,0.010245626903257608,0.011779577442317614,0.02814366921423769,0.03613919161768946,0.008775767647513186,0.0,0.0,0.09305962989552886,0.11079480741798946,0.13568557586139693,0.016799843329244595,0.0,0.003437149113563645,0.04975407296446816,0.045320916915156,0.04159506875246045,0.009540616410889418,0.012654850182427657,0.00742383119463623,0.007581677427596667,0.006086876884521894,0.005429654091486743,0.004477778941967204,0.01785188926847308,9.442222620777292e-05,0.0,9.442222620777292e-05,0.0033190081166910614,0.0,0.0036717969418103187,0.0017837190583873327,0.0004144274713581656,0.0,0.0637300935637068,0.010644923833388404,0.007948029829529413,0.0306235500582058,0.010893231650689363,0.008363514957414272,0.022129792065212903,0.002474457726130636,0.012218539807086018,0.008980736470786937,0.015222374479186864,0.02739116930974967,9.442222620777292e-05,0.006303567006754689,0.007159591524239212,0.008929564850946594,0.016477312212990473,0.0428195910397534,0.08891634500606548,0.30225898471261026,0.0257462861161819,0.011436256345836403,0.023390454284744844,0.027474983532928536,0.022870424820166674,0.12991886545524275,0.04452849022678516,0.0,0.016569578837636777,0.036731910422968084,0.015456117986174791,0.004534528078825853,0.010794021907716845,0.0022888354360704973,0.025065470780515183,0.002597200195116682,0.0005633152177614036,0.0022265352383812,0.009843766196474198,0.0035547385763646465,0.001524569714925811,0.004534528078825853,0.0029008353469549375,0.0012599253915743325,0.000337940104817715,0.0007080492315627564,0.0013266636630954152,0.03070549166308355,0.014138787346867705,0.0016547684941029181,0.0010570700354993981,0.002038260992990514,0.002779910425655439,0.0007080492315627564,0.07948176874366177
Panama,0.044808530908790146,0.04396861423163014,0.10759715460444745,0.04452894097752724,0.09882163475513597,0.31975215511190686,0.626424495948002,0.07432253020533733,0.04689357758027316,0.11496251696654929,0.09801344405878068,0.017425249699696575,0.0005824717311215205,0.40602237447345857,0.04213673428033225,0.08971044116085487,0.00484963022635653,0.031199634815918004,0.011883124531850848,0.016412189633673496,0.011343390332807127,0.0,0.06408274521472727,0.01624229819701343,0.050188091341239235,0.03740711228539051,0.023308115593980595,0.010067259576711719,0.09289116572837396,0.05570777117182942,0.02630055713158116,0.1837267389559331,0.011523757025351068,0.023148673544933763,0.048547032251421644,0.033145794228740685,0.021056626536200385,0.0,0.0,0.0634381135435928,0.056637458886291396,0.12877086133937368,0.04340673904766172,0.0,0.003378661134963204,0.04213673428033225,0.07220359292460092,0.07790296515564375,0.08119948014381183,0.05303154154588781,0.016581775765126087,0.0044365269067623975,0.007624212168914156,0.016072097776592943,0.019750233917874737,0.01792788802427042,0.0,0.0,0.00030901164694024013,0.014352221447050634,0.0,0.02968600912230451,0.0035934542075873564,0.00030901164694024013,0.0,0.10782239804121009,0.023785226921932127,0.023785226921932127,0.03711654996746832,0.01624229819701343,0.022829172304943798,0.066646004489984,0.012062141139514756,0.023943864350841493,0.02007826600294773,0.030444685969457222,0.054105650851667145,0.0,0.0072383387961254785,0.007816038853186593,0.022348352364086086,0.024891598143702186,0.033145794228740685,0.08649969880067326,0.2936826967550489,0.07654983175679957,0.01624229819701343,0.03784207882327377,0.049095404744254584,0.026456207024016923,0.12295514717919093,0.0497789617563505,0.0,0.020894151144759156,0.06575160308552584,0.034479670764452214,0.02346735410889351,0.04606204099255013,0.0054602485414633785,0.014004119641264719,0.018094878597161572,0.002722693014690916,0.026144730375456164,0.009512535011924882,0.007816038853186593,0.002273973778127287,0.006259600391300971,0.007431652669730179,0.002273973778127287,0.004227983491423935,0.0008425131000982412,0.0020454744224144036,0.01043438465867901,0.022829172304943798,0.0018137610371379612,0.0010938403367251213,0.0035934542075873564,0.002722693014690916,0.0008425131000982412,0.035803105308817654
Poland,0.07254072522905705,0.0739553590838691,0.18094398747305784,0.05227462126914373,0.07360236323480412,0.2811716887155762,0.5805183066281894,0.11804367171932213,0.05532870062909262,0.3761713397933218,0.22448936726253274,0.08172936011038623,0.014854399020632516,0.26589866171815785,0.039733956544479664,0.23113611336676845,0.0036852344041220747,0.07618094313860252,0.03447495483968452,0.01745984342177319,0.005282833261294605,0.0,0.06082635448410397,0.01729914473276185,0.11065064184738564,0.02918574092501746,0.036570146213754026,0.00586311547352933,0.07159366536709771,0.02015287338597339,0.009193071732652835,0.15840168022808693,0.0050873619436194815,0.015348751514873143,0.026245109469594657,0.016491530280407167,0.01130529524199034,0.0,0.0,0.06316268901827012,0.026245109469594657,0.05227462126914373,0.04163289085497822,0.0,0.0010609291434222352,0.01335343091117543,0.02787018704631403,0.010258090712996448,0.010783792285914574,0.01825937443222536,0.0056706696432798,0.001298069069765728,0.003062218203026439,0.010958081699564805,0.033346500611181926,0.013521598582884967,0.0038896118845439063,0.0005653697073090468,0.0019822377444527538,0.013015995435024658,0.0,0.01130529524199034,0.004092507407685934,0.0010609291434222352,0.0,0.2598681844047252,0.019052544470934574,0.02293278181273023,0.02338969452372396,0.02889444905304797,0.010958081699564805,0.021242079985814524,0.003062218203026439,0.024750282356439796,0.01501950058393344,0.05240270366278905,0.04484456767488024,0.0032716502215817864,0.005282833261294605,0.0038896118845439063,0.005477255161320081,0.00586311547352933,0.014023963473343512,0.056085906175526994,0.08092659436106814,0.06572027487008977,0.011822820771153845,0.01335343091117543,0.02323758298550699,0.01335343091117543,0.023085279241354503,0.013521598582884967,0.0,0.017940343525472136,0.039870246852937455,0.029476443807347267,0.03461546065282443,0.04337916185449108,0.0038896118845439063,0.007924809207400366,0.00586311547352933,0.0019822377444527538,0.008833712220857463,0.007185836463923017,0.0032716502215817864,0.0008174272678525066,0.004294003391880509,0.004693084280595234,0.003062218203026439,0.0019822377444527538,0.001757993085383645,0.003479282226757398,0.0077411060855892685,0.010081881932691937,0.004693084280595234,0.0036852344041220747,0.006623893208169507,0.0036852344041220747,0.0008174272678525066,0.1483464002279144
